concessionaria;cod_agente_arrecadador;nome_agente_arrecadador;nome_grupo_loja;uf_cef;cidade_cef;uf_ag_nao_financeiro;mes_transacao;status;bu_description;estado;profit_center;cod_area;dat_tra;data_venda;midia;valor_face;qtde_recargas;valor_total;val_tarifa;val_tarifa_total;plano_tarifario;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TRS;110000410;M4U - RECORRENTE PIX;;;;;202410;Efetuada;UN Sul;RS;J30RS051;51;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;12;5;60;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TSU;110002264;M4U CPT - DEBITO MASTER;;;;;202410;Efetuada;;SC;J33SC047G;47;01/10/2024 00:00:00;01/10/2024;Mobile APP;20;16;320;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TNE;110000623;BEMOBI - MASTERCARD;;;;;202410;Efetuada;;CE;J25CE085G;85;01/10/2024 00:00:00;01/10/2024;Mobile APP;12;1;12;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TCO;110002238;M4U APP - RECORRENTE PIX;;;;;202410;Efetuada;UN Brasília;DF;J30DF061;61;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;15;4;60;;;PLANO TIM MAIS CONTROLE A EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TCO;110000021;M4U - RECORRENTE CREDITO VISA;;;;;202410;Efetuada;UN Brasília;MS;J30MS067;67;01/10/2024 00:00:00;01/10/2024;Mobile APP;20;7;140;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TSP_C;110000402;M4U - PROGRAMADA CREDITO VISA;;;;;202410;Efetuada;UN SP;SP;J30SP011;11;01/10/2024 00:00:00;01/10/2024;Desconhecido;30;4;120;;;PLANO TIM CONTROLE SMART 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TMG;110002091;RV C6 3;;;;;202410;Efetuada;;MG;J06MG032G;32;01/10/2024 00:00:00;01/10/2024;PDV;40;1;40;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TSP_I;110001891;PAGBANK;;;;;202410;Efetuada;UN SP;SP;J30SP017;17;01/10/2024 00:00:00;01/10/2024;Web;30;16;480;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TMG;0010400000;CAIXA - CEF;;;;;202410;Efetuada;;MG;J06MG038G;38;01/10/2024 00:00:00;01/10/2024;Loterica;50;1;50;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNE;110002239;M4U APP - ADESAO PIX;;;;;202410;Efetuada;;CE;J25CE085G;85;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;15;1;15;;;PLANO TIM MAIS CONTROLE A EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
